codigo_reserva,nif_cliente,balcao,hora
1,388336722,LIS,2025-02-01 22:00:00
2,925191446,FCO,2025-02-11 05:00:00
3,171033823,FRA,2025-01-13 23:00:00
4,500384167,LGW,2025-03-02 04:00:00
5,519838508,CDG,2025-01-21 10:00:00
6,581310413,AMS,2025-01-03 16:00:00
7,701867392,LGW,2025-02-07 03:00:00
8,750493134,FRA,2025-02-10 07:00:00
9,327317928,CDG,2025-02-22 08:00:00
10,717922727,FCO,2025-02-16 16:00:00
11,984183979,LHR,2025-02-21 19:00:00
12,301606900,MXP,2025-01-22 13:00:00
13,230519016,LTN,2025-02-05 13:00:00
14,716100141,LGW,2025-02-15 04:00:00
15,731735701,LIS,2025-02-14 01:00:00
16,156555603,FRA,2025-02-01 09:00:00
17,635431871,MXP,2025-01-04 05:00:00
18,609800115,LTN,2025-02-04 22:00:00
19,364067739,LIS,2025-02-27 13:00:00
20,253120973,LGW,2025-02-28 15:00:00
21,194884945,MXP,2025-02-07 19:00:00
22,496079983,ORY,2025-02-12 03:00:00
23,613733467,LHR,2025-02-21 16:00:00
24,964902266,CDG,2025-01-04 22:00:00
25,682149301,FCO,2025-02-04 04:00:00
26,710850383,LGW,2025-01-31 05:00:00
27,147564735,FCO,2025-02-09 15:00:00
28,752185396,MXP,2025-01-23 14:00:00
29,472953558,ORY,2025-02-06 01:00:00
30,190717865,LGW,2025-01-30 17:00:00
31,323951210,LTN,2025-01-27 13:00:00
32,868226379,AMS,2025-02-12 07:00:00
33,740796098,CDG,2025-01-27 14:00:00
34,789282665,LHR,2025-02-20 12:00:00
35,490494271,MXP,2025-02-21 12:00:00
36,831669659,AMS,2025-02-03 00:00:00
37,941677128,MXP,2025-02-07 01:00:00
38,718613868,AMS,2025-02-16 20:00:00
39,982952095,LHR,2025-02-24 03:00:00
40,565703683,LIS,2025-03-02 19:00:00
41,508442694,LTN,2025-01-04 16:00:00
42,574182142,LIS,2025-01-20 14:00:00
43,995314320,LIS,2025-02-21 01:00:00
44,986090755,LTN,2025-02-14 11:00:00
45,631901880,ORY,2025-02-13 11:00:00
46,251771633,CDG,2025-01-28 21:00:00
47,887404022,ORY,2025-01-08 16:00:00
48,731367511,LGW,2025-01-28 23:00:00
49,576475402,FCO,2025-02-10 16:00:00
50,728910758,CDG,2025-02-22 23:00:00
51,303076748,LIS,2025-01-11 13:00:00
52,716279230,AMS,2025-01-28 16:00:00
53,462806233,FRA,2025-02-01 09:00:00
54,180436672,LGW,2025-01-15 09:00:00
55,328297258,FCO,2025-02-28 10:00:00
56,337984566,CDG,2025-01-04 12:00:00
57,295339801,FRA,2025-01-29 12:00:00
58,844240841,LGW,2025-01-15 18:00:00
59,589445423,CDG,2025-01-13 15:00:00
60,368693632,FCO,2025-01-19 00:00:00
61,872410635,LGW,2025-02-25 14:00:00
62,284147322,CDG,2025-02-16 01:00:00
63,848199162,ORY,2025-02-05 20:00:00
64,904035752,LHR,2025-02-01 02:00:00
65,528377934,LHR,2025-01-20 04:00:00
66,777728295,LGW,2025-02-18 03:00:00
67,582087218,FRA,2025-02-18 06:00:00
68,712936032,LTN,2025-01-24 10:00:00
69,861345345,FRA,2025-01-02 07:00:00
70,310069123,LHR,2025-01-17 08:00:00
71,305020749,FCO,2025-01-30 17:00:00
72,635612874,LHR,2025-02-20 08:00:00
73,161284294,LTN,2025-02-21 23:00:00
74,901248170,LHR,2025-02-04 05:00:00
75,328872431,FRA,2025-02-10 03:00:00
76,848443206,FRA,2025-02-13 15:00:00
77,399376241,FCO,2025-01-31 11:00:00
78,158056013,LHR,2025-02-05 18:00:00
79,181359515,LHR,2025-02-03 00:00:00
80,721445051,ORY,2025-02-19 03:00:00
81,573818401,LHR,2025-01-17 11:00:00
82,186255565,LIS,2025-02-14 20:00:00
83,707861255,AMS,2025-01-30 03:00:00
84,149776428,LIS,2025-02-08 19:00:00
85,961727051,LHR,2025-01-10 10:00:00
86,624606240,MXP,2025-02-27 03:00:00
87,741633308,AMS,2025-01-18 10:00:00
88,799954409,ORY,2025-01-29 03:00:00
89,843700456,AMS,2025-01-22 20:00:00
90,305124749,LTN,2025-02-10 17:00:00
91,278699425,LTN,2025-02-02 05:00:00
92,518972291,AMS,2025-01-09 03:00:00
93,563462848,FCO,2025-02-15 07:00:00
94,995996976,MXP,2025-01-25 02:00:00
95,123061390,AMS,2025-02-25 08:00:00
96,810121067,FCO,2025-02-02 00:00:00
97,523674718,LHR,2025-01-24 23:00:00
98,178670375,CDG,2025-01-06 04:00:00
99,188502889,CDG,2025-02-10 07:00:00
100,798867307,LHR,2025-01-22 23:00:00
101,528638926,ORY,2025-01-13 08:00:00
102,255273540,AMS,2025-02-18 05:00:00
103,174941803,FRA,2025-02-04 01:00:00
104,155518094,FCO,2025-01-31 20:00:00
105,223922916,ORY,2025-02-07 15:00:00
106,671068486,AMS,2025-02-11 10:00:00
107,475054163,LHR,2025-01-15 16:00:00
108,700870697,FRA,2025-01-16 20:00:00
109,972211566,MXP,2025-01-30 03:00:00
110,421749763,FCO,2025-01-30 20:00:00
111,173855330,LTN,2025-01-01 10:00:00
112,842418497,LGW,2025-01-28 19:00:00
113,719124730,LGW,2025-01-16 00:00:00
114,455458426,FCO,2025-02-08 03:00:00
115,172167017,FRA,2025-01-22 20:00:00
116,789547828,LGW,2025-01-06 03:00:00
117,474604296,AMS,2025-02-09 18:00:00
118,677292618,MXP,2025-01-13 22:00:00
119,451169220,LHR,2025-01-15 11:00:00
120,245727990,LHR,2025-01-06 18:00:00
121,751346842,CDG,2025-01-31 00:00:00
122,832214155,LGW,2025-02-14 11:00:00
123,791921336,FCO,2025-01-01 14:00:00
124,556310953,MXP,2025-02-19 10:00:00
125,713085347,LGW,2025-01-08 02:00:00
126,630769501,LGW,2025-02-06 17:00:00
127,760940811,FCO,2025-01-21 02:00:00
128,527928391,LHR,2025-01-26 23:00:00
129,740743266,LIS,2025-02-11 05:00:00
130,564115732,AMS,2025-01-06 20:00:00
131,645841256,MXP,2025-01-02 13:00:00
132,676222325,CDG,2025-02-20 19:00:00
133,866649344,CDG,2025-02-11 01:00:00
134,416332121,MXP,2025-02-04 03:00:00
135,650546709,FCO,2025-01-20 00:00:00
136,318690088,AMS,2025-01-27 22:00:00
137,856915305,CDG,2025-01-07 00:00:00
138,421690352,AMS,2025-02-17 03:00:00
139,234021973,FCO,2025-02-28 07:00:00
140,785894679,LGW,2025-03-01 16:00:00
141,636522147,FCO,2025-01-15 10:00:00
142,991212106,FCO,2025-02-20 12:00:00
143,770080131,LTN,2025-02-24 15:00:00
144,339321394,MXP,2025-02-06 19:00:00
145,170636146,LIS,2025-02-11 20:00:00
146,597707724,MXP,2025-02-24 03:00:00
147,122918995,AMS,2025-01-28 12:00:00
148,608055048,FCO,2025-01-31 14:00:00
149,497444384,FCO,2025-02-10 17:00:00
150,237224515,CDG,2025-01-26 14:00:00
151,156790367,FCO,2025-01-24 14:00:00
152,313937504,CDG,2025-01-09 14:00:00
153,196901573,FRA,2025-02-13 02:00:00
154,870861747,LTN,2025-01-26 12:00:00
155,425547298,ORY,2025-01-03 03:00:00
156,763911396,FRA,2025-02-09 00:00:00
157,353388257,LIS,2025-01-22 11:00:00
158,861994131,LGW,2025-01-06 08:00:00
159,893047634,CDG,2025-01-11 03:00:00
160,583353714,AMS,2025-01-27 04:00:00
161,680810370,ORY,2025-01-02 21:00:00
162,859497004,ORY,2025-02-11 06:00:00
163,201528328,LGW,2025-02-14 22:00:00
164,909272653,ORY,2025-02-01 03:00:00
165,944621439,FRA,2025-01-31 23:00:00
166,897775240,FRA,2025-01-31 13:00:00
167,789776271,LHR,2025-02-19 01:00:00
168,552971422,AMS,2025-01-24 11:00:00
169,966178650,LGW,2025-02-20 20:00:00
170,945350287,LTN,2025-01-04 06:00:00
171,311686088,LTN,2025-01-22 10:00:00
172,281356715,ORY,2025-01-01 11:00:00
173,237705577,LIS,2025-02-21 22:00:00
174,201215383,AMS,2025-02-01 09:00:00
175,394309674,MXP,2025-02-11 13:00:00
176,409830208,LHR,2025-01-03 04:00:00
177,470794406,MXP,2025-02-03 12:00:00
178,951913799,ORY,2025-01-04 04:00:00
179,506621275,AMS,2025-02-26 09:00:00
180,243969926,FRA,2025-01-14 19:00:00
181,759381686,MXP,2025-02-22 18:00:00
182,711504922,LHR,2025-02-15 05:00:00
183,326623624,LHR,2025-01-31 03:00:00
184,974097662,MXP,2025-02-11 11:00:00
185,924367382,FCO,2025-02-02 18:00:00
186,178606670,MXP,2025-02-04 14:00:00
187,118148637,FRA,2025-02-13 12:00:00
188,682042129,AMS,2025-01-12 11:00:00
189,376124816,LIS,2025-02-27 13:00:00
190,196963376,LIS,2025-02-07 00:00:00
191,801607674,ORY,2025-02-13 16:00:00
192,768076597,FCO,2025-02-09 23:00:00
193,850065047,LGW,2025-01-21 05:00:00
194,316131077,FRA,2025-02-08 13:00:00
195,381577818,ORY,2025-02-02 13:00:00
196,967053110,FRA,2025-03-01 12:00:00
197,287549241,LIS,2025-01-05 21:00:00
198,446974669,LIS,2025-01-17 04:00:00
199,694843962,FRA,2025-02-03 11:00:00
200,417606772,LTN,2025-02-18 07:00:00
201,912115017,LIS,2025-02-08 06:00:00
202,233834483,LGW,2025-01-07 01:00:00
203,300798383,LHR,2025-01-22 11:00:00
204,568259269,FRA,2025-01-17 08:00:00
205,489743446,AMS,2025-01-07 00:00:00
206,254213283,ORY,2025-02-22 01:00:00
207,652466578,ORY,2025-01-06 12:00:00
208,358537766,MXP,2025-01-16 19:00:00
209,892078070,FRA,2025-02-07 14:00:00
210,885176952,CDG,2025-01-22 21:00:00
211,241733247,MXP,2025-02-04 10:00:00
